latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.86138,35.83402,361.08,1.05,1.02,2025-10-24,1236,A,100,6.1NRT,311.04,82.38,D
-13.64985,37.24682,338.95,1.0,1.0,2025-10-24,1236,A,85,6.1NRT,311.27,27.71,D
-13.65117,37.23784,323.88,1.0,1.0,2025-10-24,1236,A,41,6.1NRT,310.62,7.45,D
-13.61265,37.36396,332.86,1.0,1.0,2025-10-24,1236,A,69,6.1NRT,313.21,16.48,D
-13.61398,37.35497,341.84,1.0,1.0,2025-10-24,1236,A,87,6.1NRT,311.02,30.33,D
-13.63111,37.23823,324.1,1.0,1.0,2025-10-24,1236,A,52,6.1NRT,310.04,8.33,D
-13.66917,36.97797,344.98,1.0,1.0,2025-10-24,1236,A,90,6.1NRT,308.94,38.34,D
-13.69084,36.70525,328.58,1.01,1.0,2025-10-24,1236,A,59,6.1NRT,303.37,19.48,D
-13.11605,40.02684,326.29,1.25,1.11,2025-10-24,1236,A,61,6.1NRT,310.17,10.4,D
-13.76824,35.64328,337.16,1.06,1.03,2025-10-24,1236,A,84,6.1NRT,310.56,27.78,D
-13.43364,37.76317,332.18,1.01,1.01,2025-10-24,1236,A,76,6.1NRT,314.85,13.18,D
-13.43499,37.75408,328.53,1.01,1.01,2025-10-24,1236,A,69,6.1NRT,315.4,8.2,D
-13.47254,37.50106,326.63,1.0,1.0,2025-10-24,1236,A,65,6.1NRT,310.85,11.8,D
-13.47387,37.49204,323.17,1.0,1.0,2025-10-24,1236,A,39,6.1NRT,309.74,8.05,D
-13.68715,35.89193,344.25,1.04,1.02,2025-10-24,1236,A,90,6.1NRT,311.36,39.74,D
-13.68848,35.88255,360.58,1.04,1.02,2025-10-24,1236,A,94,6.1NRT,306.97,79.71,D
-13.34188,38.13277,327.59,1.03,1.01,2025-10-24,1236,A,50,6.1NRT,315.22,7.1,D
-13.64455,35.99981,329.68,1.04,1.02,2025-10-24,1236,A,76,6.1NRT,312.13,14.44,D
-13.56569,36.29298,358.1,1.02,1.01,2025-10-24,1236,A,99,6.1NRT,311.49,68.19,D
-13.567,36.28382,335.16,1.02,1.01,2025-10-24,1236,A,51,6.1NRT,310.09,21.62,D
-13.62571,35.74255,325.69,1.05,1.03,2025-10-24,1236,A,64,6.1NRT,309.5,12.14,D
-13.31085,37.84977,326.56,1.02,1.01,2025-10-24,1236,A,59,6.1NRT,313.3,8.57,D
-13.30201,37.84838,324.66,1.02,1.01,2025-10-24,1236,A,28,6.1NRT,312.18,5.81,D
-13.29389,37.78188,326.03,1.01,1.01,2025-10-24,1236,A,60,6.1NRT,313.88,8.39,D
-13.41755,36.945,336.04,1.0,1.0,2025-10-24,1236,A,82,6.1NRT,304.28,25.88,D
-13.23714,38.08484,338.33,1.03,1.01,2025-10-24,1236,A,83,6.1NRT,313.27,22.16,D
-13.23852,38.07561,349.46,1.03,1.01,2025-10-24,1236,A,93,6.1NRT,313.49,44.64,D
-12.88933,40.2943,321.58,1.31,1.13,2025-10-24,1236,A,29,6.1NRT,305.86,8.26,D
-13.22825,38.08346,330.95,1.03,1.01,2025-10-24,1236,A,47,6.1NRT,315.44,12.03,D
-13.23101,38.06497,335.74,1.03,1.01,2025-10-24,1236,A,66,6.1NRT,311.44,19.5,D
-13.22074,38.07277,340.3,1.03,1.01,2025-10-24,1236,A,76,6.1NRT,313.32,25.33,D
-13.22212,38.06355,346.65,1.03,1.01,2025-10-24,1236,A,91,6.1NRT,312.74,38.15,D
-13.21324,38.06215,354.73,1.03,1.01,2025-10-24,1236,A,96,6.1NRT,313.86,57.31,D
-13.44431,36.49136,336.04,1.01,1.0,2025-10-24,1236,A,77,6.1NRT,312.0,21.77,D
-13.20434,38.06077,326.83,1.03,1.01,2025-10-24,1236,A,33,6.1NRT,312.71,8.03,D
-13.2724,37.605,333.65,1.01,1.0,2025-10-24,1236,A,77,6.1NRT,316.25,14.24,D
-13.52219,35.88354,323.24,1.04,1.02,2025-10-24,1236,A,37,6.1NRT,308.55,7.15,D
-13.52616,35.85553,332.52,1.04,1.02,2025-10-24,1236,A,78,6.1NRT,307.34,19.55,D
-13.2548,37.6022,330.14,1.01,1.0,2025-10-24,1236,A,48,6.1NRT,316.77,8.67,D
-13.28071,37.36673,339.47,1.0,1.0,2025-10-24,1236,A,84,6.1NRT,313.17,27.65,D
-12.84938,39.96404,325.66,1.25,1.11,2025-10-24,1236,A,64,6.1NRT,308.47,11.93,D
-12.85112,39.95288,324.94,1.25,1.11,2025-10-24,1236,A,62,6.1NRT,308.95,10.91,D
-13.23841,37.33605,323.64,1.0,1.0,2025-10-24,1236,A,19,6.1NRT,311.44,5.43,D
-13.51753,35.13038,323.03,1.11,1.05,2025-10-24,1236,A,44,6.1NRT,307.82,7.08,D
-13.30636,36.35604,331.99,1.01,1.01,2025-10-24,1236,A,35,6.1NRT,308.34,15.45,D
-13.08443,37.74833,327.13,1.01,1.01,2025-10-24,1236,A,38,6.1NRT,315.08,8.51,D
-13.13444,37.34998,327.94,1.0,1.0,2025-10-24,1236,A,65,6.1NRT,313.44,9.9,D
-13.13577,37.34098,324.74,1.0,1.0,2025-10-24,1236,A,50,6.1NRT,312.04,6.34,D
-13.38491,35.48424,329.16,1.07,1.03,2025-10-24,1236,A,51,6.1NRT,309.93,17.85,D
-13.14282,37.04868,324.03,1.0,1.0,2025-10-24,1236,A,42,6.1NRT,310.01,5.83,D
-13.40778,35.118,326.9,1.11,1.05,2025-10-24,1236,A,68,6.1NRT,308.47,13.28,D
-13.28741,35.84961,329.21,1.04,1.02,2025-10-24,1236,A,48,6.1NRT,310.22,14.06,D
-13.29578,35.72687,327.1,1.05,1.02,2025-10-24,1236,A,42,6.1NRT,307.51,14.59,D
-13.01441,37.60184,328.5,1.01,1.0,2025-10-24,1236,A,63,6.1NRT,314.33,8.71,D
