latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.18872,46.26932,319.79,1.4,1.17,2025-10-24,1113,A,61,6.1NRT,301.59,18.36,D
30.67613,74.03308,316.41,1.12,1.05,2025-10-24,932,A,66,6.1NRT,300.01,10.39,D
34.18602,46.2546,327.03,1.4,1.17,2025-10-24,1113,A,79,6.1NRT,302.2,31.11,D
30.67426,74.0219,314.39,1.12,1.05,2025-10-24,932,A,61,6.1NRT,300.56,8.09,D
34.1965,46.26093,312.78,1.4,1.17,2025-10-24,1113,A,36,6.1NRT,299.5,8.72,D
30.65309,73.83914,313.08,1.14,1.06,2025-10-24,932,A,57,6.1NRT,302.35,6.21,D
34.79881,49.66069,312.58,1.02,1.01,2025-10-24,1113,A,29,6.1NRT,302.04,5.58,D
30.60736,73.51292,313.22,1.18,1.08,2025-10-24,932,A,57,6.1NRT,302.15,6.11,D
30.70707,73.99123,312.97,1.12,1.05,2025-10-24,932,A,56,6.1NRT,300.43,6.72,D
34.75665,46.59574,314.09,1.31,1.14,2025-10-24,1113,A,55,6.1NRT,299.97,9.64,D
30.76354,74.27748,312.23,1.09,1.04,2025-10-24,932,A,53,6.1NRT,300.67,5.53,D
35.65648,51.08524,311.79,1.01,1.01,2025-10-24,1113,A,56,6.1NRT,300.02,5.84,D
30.78851,74.37371,318.11,1.08,1.04,2025-10-24,932,A,69,6.1NRT,301.54,10.75,D
34.89452,43.80769,324.38,1.91,1.35,2025-10-24,1113,A,74,6.1NRT,305.86,28.68,D
30.73818,74.00748,313.57,1.12,1.05,2025-10-24,932,A,58,6.1NRT,300.61,7.13,D
35.2428,44.42798,322.59,1.71,1.28,2025-10-24,1113,A,73,6.1NRT,306.66,21.75,D
30.7583,74.07249,331.35,1.11,1.05,2025-10-24,932,A,84,6.1NRT,300.99,29.09,D
35.24173,44.42321,319.22,1.71,1.28,2025-10-24,1113,A,67,6.1NRT,306.56,13.23,D
30.75647,74.06134,321.89,1.11,1.05,2025-10-24,932,A,75,6.1NRT,300.86,15.88,D
30.71158,73.73072,323.67,1.15,1.07,2025-10-24,932,A,77,6.1NRT,302.95,17.04,D
36.58631,52.53622,305.31,1.12,1.05,2025-10-24,1113,A,55,6.1NRT,293.79,4.42,D
30.71851,73.73558,313.58,1.15,1.07,2025-10-24,932,A,59,6.1NRT,301.91,6.76,D
35.70953,46.18283,317.04,1.33,1.14,2025-10-24,1113,A,67,6.1NRT,294.94,17.83,D
30.71655,73.72408,317.42,1.15,1.07,2025-10-24,932,A,68,6.1NRT,302.72,10.67,D
35.51874,44.33979,319.03,1.71,1.28,2025-10-24,1113,A,68,6.1NRT,306.83,13.99,D
30.71939,73.6274,316.3,1.16,1.07,2025-10-24,932,A,66,6.1NRT,302.07,8.89,D
35.52974,44.33649,320.53,1.71,1.28,2025-10-24,1113,A,71,6.1NRT,306.67,16.96,D
30.71741,73.61578,317.25,1.16,1.07,2025-10-24,932,A,68,6.1NRT,302.88,9.92,D
35.62803,44.00979,320.94,1.78,1.31,2025-10-24,1113,A,71,6.1NRT,303.87,22.86,D
30.48633,72.30068,316.46,1.37,1.16,2025-10-24,932,A,65,6.1NRT,300.9,12.57,D
35.62603,44.00342,321.54,1.78,1.31,2025-10-24,1113,A,72,6.1NRT,304.0,22.14,D
30.89429,74.457,322.65,1.07,1.03,2025-10-24,932,A,76,6.1NRT,301.54,15.44,D
30.76236,73.65366,314.0,1.15,1.07,2025-10-24,932,A,60,6.1NRT,302.01,6.66,D
35.6855,43.88536,324.28,1.81,1.32,2025-10-24,1113,A,76,6.1NRT,305.18,28.14,D
30.80781,73.86925,312.71,1.13,1.06,2025-10-24,932,A,55,6.1NRT,301.48,6.27,D
35.68167,43.86633,335.21,1.81,1.32,2025-10-24,1113,A,86,6.1NRT,306.69,61.4,D
30.98139,74.88927,313.4,1.04,1.02,2025-10-24,932,A,59,6.1NRT,302.43,5.43,D
40.46084,44.87636,307.39,1.26,1.12,2025-10-24,1115,A,65,6.1NRT,286.93,11.74,D
30.79432,73.73016,315.74,1.14,1.07,2025-10-24,932,A,64,6.1NRT,301.9,8.92,D
41.21699,46.8705,327.45,1.05,1.02,2025-10-24,1115,A,85,6.1NRT,293.58,25.19,D
30.95978,74.514,313.01,1.07,1.03,2025-10-24,932,A,56,6.1NRT,300.66,6.38,D
41.21505,46.85864,312.08,1.05,1.02,2025-10-24,1115,A,72,6.1NRT,292.51,9.29,D
30.92279,74.28656,321.36,1.09,1.04,2025-10-24,932,A,74,6.1NRT,301.13,14.86,D
30.67165,72.81166,313.73,1.27,1.12,2025-10-24,932,A,58,6.1NRT,300.8,8.21,D
30.54671,71.88446,310.93,1.44,1.19,2025-10-24,932,A,32,6.1NRT,299.75,7.88,D
31.08482,74.83298,313.16,1.04,1.02,2025-10-24,932,A,58,6.1NRT,301.03,5.92,D
31.15893,75.12992,314.24,1.03,1.01,2025-10-24,932,A,62,6.1NRT,301.95,6.34,D
30.98564,74.04993,312.4,1.1,1.05,2025-10-24,932,A,54,6.1NRT,301.47,5.86,D
30.68035,72.22694,323.34,1.37,1.16,2025-10-24,932,A,76,6.1NRT,300.4,24.28,D
30.90187,73.37786,312.02,1.18,1.08,2025-10-24,932,A,53,6.1NRT,301.98,6.17,D
31.13064,74.65896,314.26,1.05,1.02,2025-10-24,932,A,61,6.1NRT,300.57,7.01,D
31.12433,74.56107,312.64,1.06,1.03,2025-10-24,932,A,55,6.1NRT,301.0,5.83,D
31.20391,74.99564,311.63,1.03,1.01,2025-10-24,932,A,51,6.1NRT,300.36,4.92,D
30.91386,73.24415,314.05,1.2,1.09,2025-10-24,932,A,59,6.1NRT,301.23,8.21,D
31.17953,74.55341,320.67,1.06,1.03,2025-10-24,932,A,73,6.1NRT,301.1,13.74,D
31.28574,75.05336,311.68,1.03,1.01,2025-10-24,932,A,55,6.1NRT,300.68,5.01,D
31.20288,74.52608,314.71,1.06,1.03,2025-10-24,932,A,62,6.1NRT,301.53,7.59,D
31.29132,75.03065,340.07,1.03,1.01,2025-10-24,932,A,90,6.1NRT,302.11,38.73,D
31.2897,75.02025,320.85,1.03,1.01,2025-10-24,932,A,74,6.1NRT,301.53,12.88,D
31.25054,74.70831,325.88,1.05,1.02,2025-10-24,932,A,79,6.1NRT,300.91,19.5,D
31.33816,75.09008,320.24,1.02,1.01,2025-10-24,932,A,74,6.1NRT,301.09,12.02,D
31.22567,74.38168,314.21,1.07,1.03,2025-10-24,932,A,61,6.1NRT,299.28,7.69,D
31.22392,74.37086,311.06,1.07,1.03,2025-10-24,932,A,48,6.1NRT,299.32,4.99,D
31.14565,73.7797,311.7,1.13,1.06,2025-10-24,932,A,52,6.1NRT,300.61,6.42,D
31.48182,75.59479,312.84,1.01,1.0,2025-10-24,932,A,63,6.1NRT,302.28,5.0,D
31.36824,74.86143,312.84,1.04,1.02,2025-10-24,932,A,59,6.1NRT,300.27,6.47,D
31.16241,73.49426,316.65,1.16,1.07,2025-10-24,932,A,66,6.1NRT,301.99,10.15,D
31.19275,73.55972,318.48,1.15,1.07,2025-10-24,932,A,70,6.1NRT,300.33,12.84,D
31.1908,73.54813,314.54,1.15,1.07,2025-10-24,932,A,61,6.1NRT,300.94,8.64,D
31.13256,73.20573,311.76,1.2,1.09,2025-10-24,932,A,47,6.1NRT,301.33,6.33,D
31.46905,75.21605,315.34,1.02,1.01,2025-10-24,932,A,63,6.1NRT,301.8,7.55,D
31.46746,75.20572,314.0,1.02,1.01,2025-10-24,932,A,64,6.1NRT,301.05,6.27,D
31.20589,73.58073,333.37,1.15,1.07,2025-10-24,932,A,85,6.1NRT,301.36,33.8,D
31.20395,73.56916,316.39,1.15,1.07,2025-10-24,932,A,57,6.1NRT,301.28,10.24,D
31.46024,75.10032,313.01,1.02,1.01,2025-10-24,932,A,61,6.1NRT,301.26,5.56,D
31.44085,74.97549,314.86,1.03,1.01,2025-10-24,932,A,65,6.1NRT,301.09,7.52,D
31.50326,75.26205,325.69,1.02,1.01,2025-10-24,932,A,76,6.1NRT,301.87,17.8,D
31.4179,74.65414,313.87,1.05,1.02,2025-10-24,932,A,61,6.1NRT,300.28,7.47,D
31.56343,75.46639,313.48,1.01,1.0,2025-10-24,932,A,65,6.1NRT,301.93,5.27,D
31.55405,75.40486,311.72,1.01,1.0,2025-10-24,932,A,60,6.1NRT,301.33,4.67,D
31.55248,75.3946,312.46,1.01,1.01,2025-10-24,932,A,62,6.1NRT,302.33,5.38,D
31.46926,74.80125,311.04,1.04,1.02,2025-10-24,932,A,53,6.1NRT,299.61,4.98,D
31.04995,72.32375,312.71,1.33,1.14,2025-10-24,932,A,49,6.1NRT,301.5,6.92,D
31.0526,72.28115,313.23,1.34,1.15,2025-10-24,932,A,50,6.1NRT,300.89,7.77,D
31.57869,75.38906,313.68,1.01,1.01,2025-10-24,932,A,56,6.1NRT,300.81,6.44,D
31.60738,75.34056,320.24,1.01,1.01,2025-10-24,932,A,75,6.1NRT,301.7,11.6,D
31.60582,75.33027,314.52,1.01,1.01,2025-10-24,932,A,66,6.1NRT,302.3,6.43,D
30.83032,70.77254,315.44,1.67,1.27,2025-10-24,932,A,55,6.1NRT,301.4,12.76,D
31.49455,73.97292,320.88,1.1,1.05,2025-10-24,932,A,73,6.1NRT,301.24,14.76,D
31.4464,73.63901,311.09,1.13,1.06,2025-10-24,932,A,44,6.1NRT,299.93,5.56,D
31.55197,73.98898,313.21,1.1,1.04,2025-10-24,932,A,58,6.1NRT,300.74,6.75,D
31.54284,73.93337,313.85,1.1,1.05,2025-10-24,932,A,60,6.1NRT,300.29,8.13,D
31.56819,73.85796,311.64,1.11,1.05,2025-10-24,932,A,51,6.1NRT,299.97,6.25,D
31.56635,73.84674,326.24,1.11,1.05,2025-10-24,932,A,79,6.1NRT,300.49,22.08,D
31.65726,73.88891,311.83,1.1,1.05,2025-10-24,932,A,53,6.1NRT,300.1,5.82,D
31.59931,73.53709,311.95,1.14,1.06,2025-10-24,932,A,25,6.1NRT,301.47,5.41,D
31.66269,73.86445,311.79,1.1,1.05,2025-10-24,932,A,49,6.1NRT,300.33,5.84,D
31.66086,73.85325,310.84,1.1,1.05,2025-10-24,932,A,47,6.1NRT,300.21,5.45,D
31.60852,73.53494,311.53,1.14,1.06,2025-10-24,932,A,24,6.1NRT,301.14,5.2,D
31.61573,73.53996,311.47,1.14,1.06,2025-10-24,932,A,48,6.1NRT,300.92,5.78,D
31.73279,74.18677,319.82,1.07,1.03,2025-10-24,932,A,73,6.1NRT,299.86,13.62,D
31.73101,74.17587,312.02,1.07,1.03,2025-10-24,932,A,56,6.1NRT,300.45,6.22,D
31.67612,73.78613,311.97,1.11,1.05,2025-10-24,932,A,54,6.1NRT,300.63,6.59,D
31.83414,74.58749,312.44,1.04,1.02,2025-10-24,932,A,59,6.1NRT,299.83,6.29,D
31.94852,75.26491,314.11,1.01,1.01,2025-10-24,932,A,66,6.1NRT,301.22,6.65,D
31.80394,74.10731,313.15,1.08,1.04,2025-10-24,932,A,60,6.1NRT,302.1,6.82,D
31.95542,74.88126,329.99,1.03,1.01,2025-10-24,932,A,84,6.1NRT,301.3,23.75,D
31.89293,74.31268,310.68,1.06,1.03,2025-10-24,932,A,52,6.1NRT,300.0,5.11,D
31.90185,74.31067,312.16,1.06,1.03,2025-10-24,932,A,58,6.1NRT,300.68,6.09,D
31.73195,73.27571,314.29,1.16,1.07,2025-10-24,932,A,60,6.1NRT,301.02,9.14,D
31.92485,74.33904,315.09,1.06,1.03,2025-10-24,932,A,66,6.1NRT,301.05,8.67,D
31.56544,72.19366,312.96,1.33,1.14,2025-10-24,932,A,48,6.1NRT,301.58,7.38,D
31.56694,72.20198,312.96,1.32,1.14,2025-10-24,932,A,43,6.1NRT,301.54,6.94,D
31.60576,72.30318,311.63,1.31,1.13,2025-10-24,932,A,40,6.1NRT,300.62,6.7,D
31.97718,74.37761,311.71,1.05,1.03,2025-10-24,932,A,56,6.1NRT,300.97,5.3,D
31.86961,73.71767,312.53,1.11,1.05,2025-10-24,932,A,56,6.1NRT,299.97,7.13,D
