latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
33.84034,-83.6961,304.18,1.35,1.15,2025-10-24,1524,T,58,6.1NRT,290.15,8.75,D
33.38459,-82.1267,305.33,1.71,1.28,2025-10-24,1524,T,61,6.1NRT,292.21,11.61,D
33.53836,-83.21558,302.32,1.46,1.19,2025-10-24,1524,T,52,6.1NRT,291.39,7.7,D
33.5609,-84.10568,303.62,1.3,1.13,2025-10-24,1524,T,57,6.1NRT,291.06,7.53,D
33.2537,-84.79255,304.36,1.21,1.09,2025-10-24,1524,T,59,6.1NRT,290.28,7.48,D
33.53175,-86.75948,303.57,1.03,1.01,2025-10-24,1524,T,55,6.1NRT,289.22,4.64,D
32.81002,-82.54153,319.51,1.65,1.26,2025-10-24,1524,T,79,6.1NRT,294.79,33.4,D
32.80683,-82.52468,309.73,1.66,1.27,2025-10-24,1524,T,69,6.1NRT,293.72,17.03,D
33.11763,-84.83076,300.62,1.21,1.09,2025-10-24,1524,T,40,6.1NRT,290.0,4.81,D
32.49977,-82.08263,302.93,1.8,1.31,2025-10-24,1524,T,51,6.1NRT,292.41,8.35,D
32.94713,-84.8053,315.02,1.22,1.1,2025-10-24,1524,T,75,6.1NRT,290.35,18.1,D
33.31002,-87.50733,308.73,1.01,1.0,2025-10-24,1524,T,0,6.1NRT,292.12,8.66,D
33.44341,-88.56667,306.43,1.01,1.0,2025-10-24,1524,T,63,6.1NRT,291.41,6.15,D
32.56375,-83.40051,306.02,1.48,1.2,2025-10-24,1524,T,60,6.1NRT,294.04,9.12,D
32.55901,-83.40746,306.75,1.48,1.2,2025-10-24,1524,T,64,6.1NRT,294.19,10.61,D
32.78859,-85.40735,309.89,1.15,1.07,2025-10-24,1524,T,69,6.1NRT,292.02,11.45,D
32.78662,-85.39539,315.08,1.16,1.07,2025-10-24,1524,T,75,6.1NRT,292.02,16.28,D
32.77926,-85.40945,348.35,1.15,1.07,2025-10-24,1524,T,95,6.1NRT,292.12,71.32,D
32.7773,-85.39755,348.5,1.16,1.07,2025-10-24,1524,T,95,6.1NRT,293.07,71.74,D
32.56457,-84.26369,306.45,1.32,1.14,2025-10-24,1524,T,63,6.1NRT,293.85,7.88,D
32.10585,-81.91915,303.51,1.88,1.34,2025-10-24,1524,T,15,6.1NRT,292.18,8.5,D
32.09428,-81.92229,308.26,1.88,1.34,2025-10-24,1524,T,66,6.1NRT,292.46,16.54,D
32.09051,-81.90327,306.82,1.89,1.34,2025-10-24,1524,T,63,6.1NRT,293.18,14.19,D
32.09556,-81.90757,316.71,1.89,1.34,2025-10-24,1524,T,76,6.1NRT,294.06,31.01,D
32.56382,-85.3474,309.73,1.17,1.08,2025-10-24,1524,T,69,6.1NRT,292.97,10.28,D
32.55445,-85.34956,303.44,1.17,1.08,2025-10-24,1524,T,45,6.1NRT,293.1,4.95,D
32.52681,-85.24294,322.88,1.18,1.08,2025-10-24,1524,T,82,6.1NRT,292.49,26.16,D
32.52477,-85.23081,302.85,1.18,1.08,2025-10-24,1524,T,54,6.1NRT,291.03,5.99,D
32.88489,-87.7001,312.24,1.0,1.0,2025-10-24,1524,T,72,6.1NRT,294.28,10.47,D
32.27671,-84.44921,303.9,1.31,1.13,2025-10-24,1524,T,56,6.1NRT,292.83,6.12,D
32.27436,-84.43593,359.81,1.31,1.13,2025-10-24,1524,T,99,6.1NRT,296.9,125.69,D
32.27496,-84.44231,344.16,1.31,1.13,2025-10-24,1524,T,94,6.1NRT,295.5,73.25,D
