latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
0.50975,127.89627,317.1,1.06,1.03,2025-10-24,45,T,73,6.1NRT,296.82,10.7,D
0.48485,128.00632,310.76,1.07,1.03,2025-10-24,45,T,35,6.1NRT,294.3,7.26,D
-1.45489,127.44071,319.64,1.05,1.03,2025-10-24,48,T,0,6.1NRT,291.73,14.66,D
-1.4639,127.43938,317.93,1.05,1.03,2025-10-24,48,T,52,6.1NRT,291.4,13.0,D
-1.56377,127.42873,313.06,1.06,1.03,2025-10-24,48,T,47,6.1NRT,289.63,7.14,D
-3.90235,122.42139,317.36,1.29,1.13,2025-10-24,48,T,68,6.1NRT,297.13,11.84,D
-4.59291,121.89194,323.2,1.37,1.16,2025-10-24,48,T,78,6.1NRT,298.8,17.04,D
-7.87684,126.16364,313.17,1.06,1.03,2025-10-24,48,T,9,6.1NRT,299.67,5.38,D
-7.8846,126.15321,316.63,1.06,1.03,2025-10-24,48,T,37,6.1NRT,301.0,8.1,D
-7.88589,126.16239,359.59,1.06,1.03,2025-10-24,48,T,94,6.1NRT,302.53,85.26,D
-7.88716,126.17143,314.04,1.06,1.03,2025-10-24,48,T,35,6.1NRT,299.4,5.65,D
-8.1926,124.30743,317.18,1.0,1.0,2025-10-24,48,T,60,6.1NRT,301.19,7.66,D
-8.19388,124.31625,317.68,1.0,1.0,2025-10-24,48,T,49,6.1NRT,303.16,8.04,D
-8.34093,124.82178,323.35,1.0,1.0,2025-10-24,48,T,47,6.1NRT,302.51,13.36,D
-8.27165,123.50864,326.27,1.04,1.02,2025-10-24,48,T,59,6.1NRT,300.77,18.35,D
-8.41008,123.82289,315.8,1.02,1.01,2025-10-24,48,T,65,6.1NRT,303.55,11.02,D
-8.73847,125.7354,316.53,1.04,1.02,2025-10-24,48,T,66,6.1NRT,305.03,5.1,D
-12.97494,130.23947,318.43,2.29,1.46,2025-10-24,50,T,39,6.1NRT,301.58,25.75,D
-14.69545,131.6651,323.75,3.14,1.68,2025-10-24,50,T,28,6.1NRT,300.46,42.77,D
-15.13481,133.50394,351.58,4.44,1.94,2025-10-24,50,T,95,6.1NRT,297.97,463.1,D
-15.13899,133.54439,341.18,4.47,1.94,2025-10-24,50,T,88,6.1NRT,296.73,297.18,D
-15.12065,133.49846,321.44,4.44,1.94,2025-10-24,50,T,49,6.1NRT,297.28,62.14,D
