latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.45245,37.21788,332.47,1.04,1.02,2025-10-24,1238,A,69,6.1NRT,300.64,19.83,D
-8.44077,37.23486,352.18,1.04,1.02,2025-10-24,1238,A,90,6.1NRT,303.76,58.46,D
-8.60272,36.01668,322.65,1.0,1.0,2025-10-24,1238,A,70,6.1NRT,306.02,6.02,D
-7.99595,39.35091,321.73,1.35,1.15,2025-10-24,1238,A,60,6.1NRT,305.45,13.62,D
-8.49133,36.02039,323.68,1.0,1.0,2025-10-24,1238,A,71,6.1NRT,302.44,10.72,D
-8.35206,36.52657,331.84,1.01,1.0,2025-10-24,1238,A,82,6.1NRT,306.34,16.88,D
-8.62711,34.63414,326.68,1.06,1.03,2025-10-24,1238,A,75,6.1NRT,310.67,8.37,D
-8.16899,37.44665,324.99,1.07,1.03,2025-10-24,1238,A,28,6.1NRT,305.44,10.62,D
-8.20642,36.88208,320.75,1.03,1.01,2025-10-24,1238,A,54,6.1NRT,301.68,10.39,D
-7.89037,38.84226,323.56,1.25,1.11,2025-10-24,1238,A,39,6.1NRT,302.89,14.6,D
-7.89208,38.83126,324.75,1.25,1.11,2025-10-24,1238,A,0,6.1NRT,301.61,17.79,D
-8.51653,34.63022,327.13,1.05,1.03,2025-10-24,1238,A,74,6.1NRT,313.14,8.17,D
-7.87944,38.78434,323.63,1.24,1.11,2025-10-24,1238,A,53,6.1NRT,302.51,15.2,D
-7.83734,38.85085,318.8,1.26,1.11,2025-10-24,1238,A,51,6.1NRT,303.18,8.76,D
-8.34727,35.29549,328.34,1.01,1.01,2025-10-24,1238,A,77,6.1NRT,304.05,17.07,D
-8.05969,37.06738,317.26,1.04,1.02,2025-10-24,1238,A,48,6.1NRT,297.63,7.24,D
-7.81471,38.54778,324.57,1.21,1.09,2025-10-24,1238,A,29,6.1NRT,304.46,14.12,D
-8.41904,34.47639,346.18,1.07,1.03,2025-10-24,1238,A,92,6.1NRT,311.56,43.09,D
-8.0186,37.14813,325.33,1.04,1.02,2025-10-24,1238,A,59,6.1NRT,300.51,14.65,D
-7.69487,39.24185,318.45,1.34,1.15,2025-10-24,1238,A,47,6.1NRT,303.15,9.63,D
-8.01102,37.13761,320.56,1.04,1.02,2025-10-24,1238,A,52,6.1NRT,299.85,10.42,D
-8.12809,36.28361,317.75,1.0,1.0,2025-10-24,1238,A,27,6.1NRT,300.81,7.41,D
-8.07657,36.51129,324.29,1.01,1.0,2025-10-24,1238,A,71,6.1NRT,305.76,10.76,D
-8.31184,34.8979,335.43,1.03,1.02,2025-10-24,1238,A,0,6.1NRT,297.27,31.62,D
-8.06776,36.50996,321.49,1.01,1.0,2025-10-24,1238,A,46,6.1NRT,302.37,8.31,D
-8.35483,34.47005,350.54,1.07,1.03,2025-10-24,1238,A,94,6.1NRT,311.64,52.94,D
-8.05409,36.48064,319.18,1.01,1.0,2025-10-24,1238,A,66,6.1NRT,299.56,9.34,D
-7.67509,38.90893,345.26,1.28,1.12,2025-10-24,1238,A,92,6.1NRT,305.49,59.66,D
-30.82523,29.60929,311.97,4.47,1.94,2025-10-24,1232,A,52,6.1NRT,298.3,46.95,D
-7.6855,38.84236,333.04,1.26,1.12,2025-10-24,1238,A,82,6.1NRT,303.2,30.59,D
-28.58752,31.11898,313.37,3.32,1.72,2025-10-24,1234,A,62,6.1NRT,298.12,44.27,D
-7.68723,38.83126,320.44,1.26,1.12,2025-10-24,1238,A,49,6.1NRT,303.23,9.36,D
-27.7524,32.44223,317.9,2.6,1.55,2025-10-24,1234,A,70,6.1NRT,297.3,42.29,D
-27.67529,30.46039,311.95,3.62,1.78,2025-10-24,1234,A,53,6.1NRT,299.56,37.49,D
-7.66528,38.90733,335.34,1.28,1.12,2025-10-24,1238,A,84,6.1NRT,302.78,35.08,D
-7.87292,37.56571,326.68,1.08,1.04,2025-10-24,1238,A,54,6.1NRT,305.51,14.86,D
-27.68079,30.45335,313.16,3.62,1.78,2025-10-24,1234,A,57,6.1NRT,299.95,43.72,D
-7.86459,37.56834,323.36,1.08,1.04,2025-10-24,1238,A,72,6.1NRT,304.85,10.19,D
-25.34638,45.32753,320.45,1.71,1.28,2025-10-24,1234,A,60,6.1NRT,304.59,13.68,D
-7.65009,38.934,321.98,1.28,1.12,2025-10-24,1238,A,65,6.1NRT,302.25,14.17,D
-27.22756,31.02476,311.25,3.25,1.7,2025-10-24,1234,A,21,6.1NRT,299.05,25.4,D
-27.21239,31.02401,313.42,3.25,1.7,2025-10-24,1234,A,50,6.1NRT,299.12,33.12,D
-7.67364,38.77847,321.31,1.25,1.11,2025-10-24,1238,A,57,6.1NRT,301.74,10.14,D
-27.28098,30.14245,318.07,3.78,1.82,2025-10-24,1234,A,68,6.1NRT,296.05,73.42,D
-27.21437,30.05622,311.9,3.82,1.83,2025-10-24,1234,A,43,6.1NRT,299.34,33.17,D
-7.85691,37.55739,344.18,1.08,1.04,2025-10-24,1238,A,91,6.1NRT,304.29,43.15,D
-25.26157,44.89867,322.58,1.6,1.25,2025-10-24,1234,A,64,6.1NRT,304.62,12.62,D
-7.65778,38.68661,321.88,1.24,1.11,2025-10-24,1238,A,33,6.1NRT,303.33,9.95,D
-24.93315,44.47235,327.84,1.53,1.22,2025-10-24,1234,A,74,6.1NRT,303.08,28.5,D
-7.62795,38.81611,323.35,1.26,1.12,2025-10-24,1238,A,63,6.1NRT,305.01,11.89,D
-26.48809,30.68357,313.51,3.37,1.73,2025-10-24,1234,A,45,6.1NRT,298.56,44.25,D
-26.33473,31.28686,315.09,3.03,1.66,2025-10-24,1234,A,55,6.1NRT,298.01,34.93,D
-7.61906,38.6805,343.35,1.24,1.11,2025-10-24,1238,A,90,6.1NRT,301.66,50.82,D
-25.83685,30.40044,314.43,3.47,1.75,2025-10-24,1234,A,37,6.1NRT,302.78,43.76,D
-7.62074,38.66968,363.25,1.24,1.1,2025-10-24,1238,A,94,6.1NRT,300.75,113.8,D
-25.67579,31.59482,336.99,2.82,1.6,2025-10-24,1234,A,87,6.1NRT,310.64,120.86,D
-25.82579,30.3966,315.24,3.47,1.75,2025-10-24,1234,A,48,6.1NRT,302.19,46.32,D
-7.85337,37.08905,317.15,1.04,1.02,2025-10-24,1238,A,61,6.1NRT,301.26,7.59,D
-25.67247,31.58934,336.18,2.82,1.6,2025-10-24,1234,A,86,6.1NRT,309.67,118.34,D
-7.57371,38.82388,325.97,1.26,1.12,2025-10-24,1238,A,73,6.1NRT,302.51,17.82,D
-25.08327,33.23107,327.77,2.09,1.41,2025-10-24,1234,A,79,6.1NRT,304.74,56.08,D
-7.95538,36.26284,361.2,1.0,1.0,2025-10-24,1238,A,100,6.1NRT,302.41,83.38,D
-7.95667,36.2541,334.48,1.0,1.0,2025-10-24,1238,A,86,6.1NRT,299.52,28.68,D
-25.07872,33.24392,315.94,2.09,1.41,2025-10-24,1234,A,50,6.1NRT,303.26,19.69,D
-25.0809,33.2237,322.82,2.09,1.41,2025-10-24,1234,A,72,6.1NRT,304.84,37.48,D
-7.75645,37.54489,319.72,1.08,1.04,2025-10-24,1238,A,60,6.1NRT,302.79,7.95,D
-25.26037,29.54297,320.53,3.95,1.85,2025-10-24,1234,A,67,6.1NRT,302.83,66.66,D
-7.81641,37.14261,317.64,1.05,1.02,2025-10-24,1238,A,56,6.1NRT,302.09,6.29,D
-24.89033,33.21613,323.86,2.09,1.41,2025-10-24,1234,A,49,6.1NRT,308.71,28.56,D
-25.25305,29.53387,321.38,3.95,1.85,2025-10-24,1234,A,67,6.1NRT,303.96,68.53,D
-7.94661,36.26149,324.59,1.0,1.0,2025-10-24,1238,A,75,6.1NRT,294.3,16.17,D
-24.88563,33.2289,323.21,2.08,1.4,2025-10-24,1234,A,56,6.1NRT,310.74,26.97,D
-8.0113,35.75894,317.67,1.0,1.0,2025-10-24,1238,A,66,6.1NRT,303.16,5.6,D
-24.53377,33.26862,323.6,2.04,1.39,2025-10-24,1234,A,68,6.1NRT,310.65,18.66,D
-7.89565,36.18159,322.69,1.0,1.0,2025-10-24,1238,A,75,6.1NRT,297.78,14.94,D
-24.5358,33.24883,327.85,2.05,1.39,2025-10-24,1234,A,76,6.1NRT,313.86,34.11,D
-7.89695,36.17279,317.18,1.0,1.0,2025-10-24,1238,A,67,6.1NRT,297.72,9.64,D
-24.62483,32.35125,327.68,2.4,1.49,2025-10-24,1234,A,75,6.1NRT,311.96,43.91,D
-24.53041,33.2611,331.35,2.04,1.39,2025-10-24,1234,A,81,6.1NRT,310.72,47.15,D
-7.85475,36.32326,316.65,1.01,1.0,2025-10-24,1238,A,28,6.1NRT,298.03,9.54,D
-24.62787,32.34463,325.98,2.4,1.49,2025-10-24,1234,A,73,6.1NRT,311.41,36.83,D
-7.85605,36.3144,321.22,1.01,1.0,2025-10-24,1238,A,62,6.1NRT,299.05,13.07,D
-22.4598,46.69782,318.77,2.48,1.52,2025-10-24,1234,A,65,6.1NRT,301.28,21.62,D
-7.85378,36.26876,329.52,1.0,1.0,2025-10-24,1238,A,82,6.1NRT,300.29,20.38,D
-24.27362,33.0141,315.53,2.12,1.41,2025-10-24,1234,A,0,6.1NRT,273.39,33.03,D
-8.43133,32.24664,333.28,1.41,1.18,2025-10-24,1238,A,81,6.1NRT,310.45,24.41,D
-22.23683,43.9216,329.94,1.58,1.24,2025-10-24,1234,A,76,6.1NRT,302.76,29.32,D
-23.93847,30.62045,323.31,3.16,1.68,2025-10-24,1234,A,62,6.1NRT,309.36,39.74,D
-7.43098,39.02731,332.33,1.31,1.13,2025-10-24,1238,A,81,6.1NRT,302.2,30.64,D
-23.92356,30.61888,326.45,3.16,1.68,2025-10-24,1234,A,72,6.1NRT,310.06,60.43,D
-7.81868,36.26357,323.18,1.0,1.0,2025-10-24,1238,A,76,6.1NRT,301.91,11.16,D
