latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.19632,130.93362,315.9,2.23,1.45,2025-10-24,1830,A,75,6.1NRT,296.42,31.3,N
-16.20907,130.93193,309.58,2.23,1.45,2025-10-24,1830,A,11,6.1NRT,296.48,16.73,N
-16.39892,131.53262,305.16,2.5,1.52,2025-10-24,1830,A,58,6.1NRT,293.96,15.57,N
-16.84736,129.97803,306.95,1.92,1.35,2025-10-24,1830,A,67,6.1NRT,296.1,11.19,N
-16.67578,128.62018,308.92,1.52,1.22,2025-10-24,1830,A,70,6.1NRT,294.64,13.34,N
-16.84249,129.98903,307.24,1.93,1.36,2025-10-24,1830,A,69,6.1NRT,296.25,11.9,N
-16.6865,128.6187,314.21,1.52,1.22,2025-10-24,1830,A,87,6.1NRT,294.89,19.06,N
-16.68826,128.6326,324.56,1.52,1.22,2025-10-24,1830,A,100,6.1NRT,295.57,37.34,N
-16.899,130.05411,312.72,1.95,1.36,2025-10-24,1830,A,85,6.1NRT,295.87,22.9,N
-16.91105,130.05264,305.96,1.95,1.36,2025-10-24,1830,A,64,6.1NRT,295.86,10.33,N
-16.91325,130.07069,312.66,1.96,1.37,2025-10-24,1830,A,85,6.1NRT,296.21,22.82,N
-16.93735,130.06757,313.73,1.96,1.37,2025-10-24,1830,A,87,6.1NRT,296.32,23.74,N
-16.94293,130.06174,309.06,1.96,1.37,2025-10-24,1830,A,76,6.1NRT,295.7,16.05,N
-16.78039,128.37819,311.88,1.46,1.2,2025-10-24,1830,A,80,6.1NRT,297.07,14.88,N
-16.98269,129.78983,305.5,1.87,1.34,2025-10-24,1830,A,62,6.1NRT,295.14,12.03,N
-16.54468,126.35663,309.65,1.11,1.05,2025-10-24,1830,A,76,6.1NRT,295.99,9.41,N
-16.56168,126.16238,305.97,1.09,1.04,2025-10-24,1830,A,63,6.1NRT,295.68,6.45,N
-16.56306,126.17217,307.82,1.09,1.04,2025-10-24,1830,A,70,6.1NRT,295.69,7.73,N
-17.04561,129.7569,321.91,1.86,1.33,2025-10-24,1830,A,100,6.1NRT,294.74,43.63,N
-17.04771,129.77402,324.99,1.87,1.34,2025-10-24,1830,A,100,6.1NRT,295.35,52.22,N
-16.91847,128.40697,309.25,1.48,1.2,2025-10-24,1830,A,72,6.1NRT,297.39,10.76,N
-16.92367,128.4007,311.81,1.48,1.2,2025-10-24,1830,A,80,6.1NRT,297.7,13.22,N
-17.56594,132.16998,306.86,2.91,1.63,2025-10-24,1830,A,69,6.1NRT,292.38,25.91,N
-17.55501,132.1662,303.89,2.91,1.63,2025-10-24,1830,A,57,6.1NRT,292.09,17.87,N
-17.57226,132.1915,303.35,2.93,1.63,2025-10-24,1830,A,55,6.1NRT,292.79,16.7,N
-17.6648,132.2356,306.0,2.96,1.64,2025-10-24,1830,A,48,6.1NRT,293.23,22.82,N
-17.66629,132.22763,304.08,2.96,1.64,2025-10-24,1830,A,58,6.1NRT,293.3,18.21,N
-17.68075,132.22591,314.14,2.96,1.64,2025-10-24,1830,A,89,6.1NRT,293.67,50.79,N
-17.68367,132.25313,322.18,2.97,1.64,2025-10-24,1830,A,100,6.1NRT,293.86,86.93,N
-16.72191,124.41651,310.41,1.0,1.0,2025-10-24,1830,A,78,6.1NRT,294.83,7.69,N
-16.93702,125.42996,310.29,1.04,1.02,2025-10-24,1830,A,77,6.1NRT,296.71,7.57,N
-16.9384,125.43951,306.87,1.04,1.02,2025-10-24,1830,A,56,6.1NRT,296.61,5.27,N
-17.83141,132.23204,307.42,2.97,1.64,2025-10-24,1830,A,36,6.1NRT,293.45,26.37,N
-17.84591,132.23038,309.27,2.97,1.64,2025-10-24,1830,A,68,6.1NRT,293.37,32.68,N
-16.9605,125.27473,308.78,1.03,1.01,2025-10-24,1830,A,65,6.1NRT,297.61,6.19,N
