latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.0659,34.58368,324.02,1.42,1.18,2025-10-24,1234,A,71,6.1NRT,300.82,21.26,D
-20.1425,33.97139,325.11,1.57,1.24,2025-10-24,1234,A,65,6.1NRT,303.65,19.99,D
-20.08841,34.05253,321.88,1.55,1.23,2025-10-24,1234,A,65,6.1NRT,305.83,13.15,D
-20.08626,33.97844,340.5,1.57,1.23,2025-10-24,1234,A,88,6.1NRT,307.85,61.24,D
-20.08802,33.96372,328.02,1.57,1.24,2025-10-24,1234,A,76,6.1NRT,305.71,25.74,D
-20.18531,33.02719,317.85,1.85,1.33,2025-10-24,1234,A,48,6.1NRT,299.38,17.86,D
-20.18737,33.03782,320.63,1.84,1.33,2025-10-24,1234,A,55,6.1NRT,300.13,24.29,D
-20.07476,33.29364,317.69,1.76,1.3,2025-10-24,1234,A,46,6.1NRT,301.68,12.75,D
-20.04337,33.18517,316.56,1.79,1.31,2025-10-24,1234,A,43,6.1NRT,298.01,17.77,D
-19.80997,34.16843,322.57,1.51,1.21,2025-10-24,1234,A,69,6.1NRT,305.35,14.43,D
-19.85634,33.41185,320.5,1.71,1.28,2025-10-24,1234,A,65,6.1NRT,303.77,14.96,D
-19.72199,33.96291,322.87,1.55,1.23,2025-10-24,1234,A,14,6.1NRT,307.3,12.45,D
-19.76274,33.62105,322.22,1.65,1.26,2025-10-24,1234,A,69,6.1NRT,304.69,14.35,D
-19.76455,33.6057,320.28,1.65,1.26,2025-10-24,1234,A,65,6.1NRT,304.52,10.83,D
-19.72315,33.46749,345.16,1.68,1.28,2025-10-24,1234,A,92,6.1NRT,304.91,84.8,D
-19.72502,33.45192,325.58,1.69,1.28,2025-10-24,1234,A,74,6.1NRT,304.79,22.88,D
-19.69712,33.58957,322.78,1.65,1.26,2025-10-24,1234,A,69,6.1NRT,306.04,13.63,D
-19.59466,34.25379,318.58,1.48,1.2,2025-10-24,1234,A,55,6.1NRT,303.22,7.49,D
-19.28519,33.78465,332.38,1.58,1.24,2025-10-24,1234,A,82,6.1NRT,306.31,34.44,D
-19.01047,35.81132,325.17,1.17,1.08,2025-10-24,1234,A,55,6.1NRT,298.41,22.68,D
-19.00552,35.81621,328.61,1.17,1.08,2025-10-24,1234,A,61,6.1NRT,298.66,27.85,D
-18.9756,35.82281,346.18,1.17,1.08,2025-10-24,1234,A,93,6.1NRT,299.38,62.48,D
-18.97706,35.81198,352.21,1.17,1.08,2025-10-24,1234,A,96,6.1NRT,301.11,78.13,D
-18.89817,35.78253,332.14,1.17,1.08,2025-10-24,1234,A,84,6.1NRT,298.79,30.2,D
-18.88868,35.78112,324.07,1.17,1.08,2025-10-24,1236,A,76,6.1NRT,296.88,18.75,D
-18.8734,35.82298,324.61,1.17,1.07,2025-10-24,1236,A,76,6.1NRT,299.51,19.19,D
-18.86393,35.82156,337.42,1.17,1.07,2025-10-24,1236,A,88,6.1NRT,299.82,40.2,D
-18.86537,35.81077,322.39,1.17,1.08,2025-10-24,1236,A,73,6.1NRT,299.39,16.0,D
-19.08155,33.86382,323.34,1.55,1.23,2025-10-24,1236,A,72,6.1NRT,303.95,19.78,D
-19.08273,33.76182,322.61,1.57,1.24,2025-10-24,1236,A,60,6.1NRT,302.01,17.19,D
