latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.21458,132.50375,341.31,1.54,1.22,2025-10-24,601,A,85,6.1NRT,315.24,44.29,D
-19.28257,131.95177,379.03,1.68,1.28,2025-10-24,601,A,100,6.1NRT,309.1,290.51,D
-19.28448,131.93611,350.24,1.69,1.28,2025-10-24,601,A,70,6.1NRT,312.43,103.16,D
-19.31546,131.68002,396.7,1.77,1.3,2025-10-24,601,A,100,6.1NRT,310.75,504.64,D
-19.31744,131.66357,353.84,1.77,1.3,2025-10-24,601,A,71,6.1NRT,312.08,132.15,D
-18.52225,137.48576,333.04,1.01,1.01,2025-10-24,601,A,64,6.1NRT,315.94,11.02,D
-19.27322,131.9346,340.73,1.69,1.28,2025-10-24,601,A,57,6.1NRT,310.69,48.56,D
-19.27511,131.9189,358.96,1.69,1.28,2025-10-24,601,A,99,6.1NRT,315.94,130.8,D
-19.30398,131.67842,344.18,1.77,1.3,2025-10-24,601,A,74,6.1NRT,302.49,80.9,D
-18.51343,137.48428,332.42,1.01,1.01,2025-10-24,601,A,57,6.1NRT,316.0,9.78,D
-19.26761,131.88589,337.25,1.7,1.28,2025-10-24,601,A,40,6.1NRT,313.83,31.64,D
-19.1715,132.4977,333.56,1.54,1.22,2025-10-24,601,A,30,6.1NRT,312.17,22.29,D
-19.23574,131.96135,337.71,1.68,1.27,2025-10-24,601,A,81,6.1NRT,314.01,42.58,D
-19.23943,131.93007,350.72,1.69,1.28,2025-10-24,601,A,94,6.1NRT,312.9,91.71,D
-19.15335,132.46628,341.04,1.54,1.22,2025-10-24,601,A,84,6.1NRT,314.53,42.77,D
-19.15081,132.46066,338.09,1.54,1.22,2025-10-24,601,A,81,6.1NRT,314.39,33.93,D
-19.14361,132.4305,338.66,1.55,1.23,2025-10-24,601,A,82,6.1NRT,313.87,34.79,D
-19.14542,132.41605,333.7,1.55,1.23,2025-10-24,601,A,75,6.1NRT,316.31,20.38,D
-17.78804,141.4805,325.48,1.62,1.25,2025-10-24,601,A,57,6.1NRT,300.46,17.92,D
-17.77707,141.47842,324.95,1.62,1.25,2025-10-24,601,A,59,6.1NRT,302.09,17.63,D
-19.13801,132.20616,331.7,1.61,1.25,2025-10-24,601,A,53,6.1NRT,313.73,15.33,D
-19.13982,132.19127,331.35,1.61,1.25,2025-10-24,601,A,42,6.1NRT,314.79,15.86,D
-17.14161,144.88232,323.23,3.03,1.66,2025-10-24,601,A,20,6.1NRT,304.74,36.08,D
-17.14628,144.85808,324.39,3.02,1.65,2025-10-24,601,A,56,6.1NRT,304.18,46.28,D
-19.56457,128.05986,333.93,3.37,1.73,2025-10-24,601,A,73,6.1NRT,304.89,116.39,D
-19.56758,128.02872,346.49,3.39,1.74,2025-10-24,601,A,91,6.1NRT,306.12,237.22,D
-17.12322,144.82298,328.91,3.0,1.65,2025-10-24,601,A,54,6.1NRT,304.76,63.9,D
-17.12835,144.79665,335.38,2.99,1.64,2025-10-24,601,A,82,6.1NRT,304.73,105.13,D
-17.12396,144.743,325.4,2.96,1.64,2025-10-24,601,A,65,6.1NRT,305.99,48.16,D
-18.39503,137.42062,334.21,1.01,1.0,2025-10-24,601,A,66,6.1NRT,316.77,10.71,D
-18.39643,137.41133,336.61,1.01,1.0,2025-10-24,601,A,76,6.1NRT,316.96,13.52,D
-19.56697,128.05302,340.73,3.37,1.73,2025-10-24,601,A,87,6.1NRT,305.06,175.68,D
-19.5702,128.02187,336.91,3.39,1.74,2025-10-24,601,A,81,6.1NRT,304.6,138.91,D
-17.12069,144.81438,325.56,3.0,1.65,2025-10-24,601,A,55,6.1NRT,304.53,46.48,D
-17.12533,144.7897,327.44,2.99,1.64,2025-10-24,601,A,65,6.1NRT,304.42,56.13,D
-17.12094,144.73419,333.42,2.96,1.64,2025-10-24,601,A,80,6.1NRT,306.02,96.86,D
-19.05931,132.27896,330.5,1.58,1.24,2025-10-24,601,A,54,6.1NRT,312.57,15.99,D
-18.44839,136.67554,337.54,1.0,1.0,2025-10-24,601,A,74,6.1NRT,316.32,14.5,D
-18.39775,136.95972,348.42,1.0,1.0,2025-10-24,601,A,91,6.1NRT,317.46,35.6,D
-18.39911,136.9505,333.89,1.0,1.0,2025-10-24,601,A,40,6.1NRT,318.16,10.21,D
-18.43826,136.68333,334.26,1.0,1.0,2025-10-24,601,A,74,6.1NRT,317.76,10.18,D
