latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
47.54226,126.77311,309.03,1.58,1.24,2025-10-24,618,A,68,6.1NRT,278.74,22.96,D
47.547,126.58685,303.43,1.55,1.23,2025-10-24,618,A,24,6.1NRT,276.95,12.67,D
47.27826,123.90269,324.92,1.17,1.08,2025-10-24,618,A,79,6.1NRT,281.86,31.74,D
47.27654,123.88771,313.15,1.17,1.08,2025-10-24,618,A,55,6.1NRT,280.66,17.81,D
47.28765,123.90032,325.19,1.17,1.08,2025-10-24,618,A,42,6.1NRT,281.77,29.19,D
47.9257,131.85605,304.49,3.02,1.65,2025-10-24,618,A,59,6.1NRT,278.56,44.32,D
47.44286,125.13756,307.85,1.32,1.14,2025-10-24,618,A,61,6.1NRT,279.73,15.32,D
47.22382,123.12338,307.32,1.1,1.05,2025-10-24,618,A,65,6.1NRT,280.57,12.25,D
47.99261,132.38304,302.74,3.23,1.7,2025-10-24,618,A,53,6.1NRT,276.54,44.46,D
47.99086,132.34085,310.83,3.21,1.7,2025-10-24,618,A,71,6.1NRT,277.59,72.54,D
47.54384,125.93125,304.0,1.44,1.19,2025-10-24,618,A,58,6.1NRT,280.47,14.89,D
48.00583,132.33958,300.19,3.21,1.7,2025-10-24,618,A,16,6.1NRT,277.71,34.4,D
47.85775,129.42464,304.9,2.21,1.44,2025-10-24,618,A,46,6.1NRT,274.85,31.02,D
47.8558,129.39618,320.78,2.2,1.44,2025-10-24,618,A,80,6.1NRT,272.69,69.29,D
48.00541,132.37762,309.53,3.23,1.7,2025-10-24,618,A,41,6.1NRT,277.12,62.67,D
48.00384,132.33542,309.86,3.21,1.7,2025-10-24,618,A,40,6.1NRT,277.89,63.47,D
47.61848,125.98631,311.18,1.45,1.19,2025-10-24,618,A,40,6.1NRT,279.66,19.41,D
47.61668,125.96758,324.22,1.45,1.19,2025-10-24,618,A,83,6.1NRT,280.1,40.74,D
47.82424,128.0867,318.29,1.87,1.34,2025-10-24,618,A,65,6.1NRT,275.92,45.85,D
48.10072,132.49759,304.65,3.28,1.71,2025-10-24,618,A,59,6.1NRT,276.15,57.0,D
48.09365,132.32762,302.89,3.21,1.7,2025-10-24,618,A,20,6.1NRT,277.22,41.54,D
47.83405,128.06033,313.02,1.86,1.33,2025-10-24,618,A,51,6.1NRT,275.67,33.96,D
47.74271,126.9754,301.88,1.63,1.26,2025-10-24,618,A,25,6.1NRT,276.59,13.66,D
48.11043,132.36855,305.43,3.23,1.7,2025-10-24,618,A,41,6.1NRT,276.93,50.86,D
47.85738,128.20447,315.4,1.9,1.35,2025-10-24,618,A,76,6.1NRT,275.42,43.14,D
47.8555,128.18051,319.6,1.89,1.34,2025-10-24,618,A,79,6.1NRT,276.08,52.08,D
47.84578,128.05833,327.07,1.86,1.33,2025-10-24,618,A,79,6.1NRT,276.16,67.16,D
47.6399,125.77318,310.39,1.42,1.18,2025-10-24,618,A,70,6.1NRT,281.39,21.0,D
48.15763,133.17015,349.65,3.57,1.77,2025-10-24,618,A,68,6.1NRT,278.81,395.52,D
48.08758,131.56227,328.19,2.91,1.63,2025-10-24,618,A,67,6.1NRT,280.46,131.57,D
48.08564,131.52397,310.59,2.9,1.62,2025-10-24,618,A,54,6.1NRT,279.96,56.13,D
47.79732,127.33886,304.1,1.7,1.28,2025-10-24,618,A,36,6.1NRT,277.43,17.29,D
47.76856,127.0136,301.29,1.64,1.26,2025-10-24,618,A,23,6.1NRT,276.28,12.57,D
48.10585,131.63765,309.92,2.94,1.63,2025-10-24,618,A,52,6.1NRT,275.03,62.84,D
48.09997,131.52255,358.68,2.9,1.62,2025-10-24,618,A,93,6.1NRT,284.6,396.09,D
48.10011,132.48947,301.87,3.28,1.71,2025-10-24,618,A,49,6.1NRT,276.35,44.68,D
47.85352,128.04964,311.16,1.86,1.33,2025-10-24,618,A,71,6.1NRT,275.24,33.68,D
47.79709,127.33184,306.17,1.7,1.28,2025-10-24,618,A,34,6.1NRT,277.27,19.67,D
48.11044,132.36031,310.66,3.23,1.7,2025-10-24,618,A,44,6.1NRT,277.2,67.84,D
48.09149,131.55367,337.92,2.91,1.63,2025-10-24,618,A,69,6.1NRT,281.12,199.53,D
48.1647,133.02107,303.94,3.51,1.76,2025-10-24,618,A,58,6.1NRT,276.46,58.94,D
48.10405,131.51389,349.05,2.9,1.62,2025-10-24,618,A,90,6.1NRT,283.74,294.32,D
47.65468,125.21717,300.83,1.34,1.15,2025-10-24,618,A,27,6.1NRT,281.04,8.98,D
47.84372,127.0788,300.58,1.65,1.26,2025-10-24,618,A,39,6.1NRT,277.36,15.48,D
47.80049,126.59811,340.77,1.56,1.23,2025-10-24,618,A,80,6.1NRT,281.66,89.68,D
47.81128,126.59589,318.18,1.56,1.23,2025-10-24,618,A,74,6.1NRT,279.25,37.21,D
47.98883,128.56236,302.29,1.99,1.38,2025-10-24,618,A,52,6.1NRT,276.38,24.89,D
47.60714,124.49455,319.4,1.24,1.11,2025-10-24,618,A,79,6.1NRT,280.1,26.09,D
47.98487,128.35414,310.26,1.94,1.36,2025-10-24,618,A,65,6.1NRT,275.95,34.58,D
47.99131,128.37357,301.84,1.95,1.36,2025-10-24,618,A,49,6.1NRT,275.22,22.07,D
47.98946,128.3484,305.98,1.94,1.36,2025-10-24,618,A,62,6.1NRT,275.9,27.9,D
47.89466,126.76239,307.75,1.6,1.24,2025-10-24,618,A,60,6.1NRT,277.74,19.49,D
48.04379,127.85657,310.1,1.83,1.32,2025-10-24,618,A,70,6.1NRT,275.52,30.63,D
48.1216,128.74222,306.26,2.04,1.39,2025-10-24,618,A,34,6.1NRT,276.55,28.01,D
48.07611,128.12219,300.08,1.89,1.34,2025-10-24,618,A,25,6.1NRT,275.61,18.58,D
48.06485,127.9756,306.42,1.86,1.33,2025-10-24,618,A,63,6.1NRT,275.43,27.63,D
48.08059,127.87455,325.41,1.83,1.33,2025-10-24,618,A,84,6.1NRT,275.91,62.01,D
47.8951,125.67991,312.72,1.41,1.18,2025-10-24,618,A,73,6.1NRT,280.14,24.21,D
47.89327,125.66155,330.95,1.41,1.18,2025-10-24,618,A,87,6.1NRT,281.27,55.09,D
47.83512,125.0929,303.24,1.33,1.14,2025-10-24,618,A,55,6.1NRT,279.5,11.95,D
47.8243,124.99012,300.21,1.31,1.14,2025-10-24,618,A,32,6.1NRT,279.5,10.01,D
47.8225,124.9731,307.14,1.31,1.14,2025-10-24,618,A,65,6.1NRT,279.89,15.99,D
48.12922,128.189,317.0,1.91,1.35,2025-10-24,618,A,56,6.1NRT,276.29,44.5,D
48.12727,128.16414,322.05,1.9,1.35,2025-10-24,618,A,65,6.1NRT,276.99,56.34,D
47.81438,124.80223,308.43,1.29,1.13,2025-10-24,618,A,40,6.1NRT,279.21,14.46,D
47.81258,124.78554,312.62,1.29,1.13,2025-10-24,618,A,51,6.1NRT,279.54,18.06,D
48.14108,128.18701,315.09,1.91,1.35,2025-10-24,618,A,53,6.1NRT,276.42,39.76,D
48.14501,128.08589,300.94,1.89,1.34,2025-10-24,618,A,39,6.1NRT,275.17,18.83,D
48.13882,128.08156,305.86,1.89,1.34,2025-10-24,618,A,62,6.1NRT,275.49,27.34,D
48.14503,128.00587,315.65,1.87,1.34,2025-10-24,618,A,49,6.1NRT,275.61,40.63,D
48.15112,127.93055,327.69,1.85,1.33,2025-10-24,618,A,73,6.1NRT,275.88,66.24,D
48.14924,127.90634,323.19,1.85,1.33,2025-10-24,618,A,64,6.1NRT,275.62,54.1,D
48.19007,127.97335,307.7,1.86,1.33,2025-10-24,618,A,58,6.1NRT,274.58,28.05,D
48.2882,128.54073,306.21,2.0,1.38,2025-10-24,618,A,63,6.1NRT,275.59,31.65,D
48.23154,127.7869,321.37,1.82,1.32,2025-10-24,618,A,81,6.1NRT,276.64,54.26,D
48.01127,125.32673,303.8,1.37,1.16,2025-10-24,618,A,41,6.1NRT,279.03,13.48,D
48.16248,126.81825,303.91,1.62,1.25,2025-10-24,618,A,57,6.1NRT,277.48,18.63,D
48.27411,127.8774,308.34,1.85,1.33,2025-10-24,618,A,67,6.1NRT,275.22,30.48,D
48.27218,127.85321,310.42,1.84,1.33,2025-10-24,618,A,70,6.1NRT,275.27,33.63,D
47.90763,123.98957,315.39,1.2,1.09,2025-10-24,618,A,51,6.1NRT,279.46,18.53,D
47.9023,123.94302,303.1,1.19,1.09,2025-10-24,618,A,45,6.1NRT,280.06,9.54,D
48.36287,128.55403,311.37,2.01,1.38,2025-10-24,618,A,71,6.1NRT,275.02,40.22,D
47.97436,124.39159,321.99,1.24,1.11,2025-10-24,618,A,41,6.1NRT,280.66,27.37,D
48.36602,128.54845,307.88,2.01,1.38,2025-10-24,618,A,66,6.1NRT,274.62,35.6,D
48.014,124.48221,320.75,1.26,1.11,2025-10-24,618,A,43,6.1NRT,279.94,26.33,D
47.98196,124.01354,309.13,1.2,1.09,2025-10-24,618,A,50,6.1NRT,279.88,13.9,D
48.00279,124.02441,311.63,1.21,1.09,2025-10-24,618,A,45,6.1NRT,279.73,15.89,D
48.68041,132.81416,322.7,3.45,1.75,2025-10-24,618,A,82,6.1NRT,278.07,147.25,D
48.45712,128.61534,315.28,2.03,1.39,2025-10-24,618,A,59,6.1NRT,274.34,46.12,D
48.45512,128.5887,316.54,2.02,1.39,2025-10-24,618,A,68,6.1NRT,273.81,49.36,D
48.07781,124.5173,300.1,1.26,1.12,2025-10-24,618,A,15,6.1NRT,277.72,8.2,D
48.67933,132.85194,306.82,3.47,1.75,2025-10-24,618,A,61,6.1NRT,277.12,68.93,D
48.46159,128.6073,346.42,2.03,1.39,2025-10-24,618,A,94,6.1NRT,275.72,166.54,D
48.45972,128.58052,315.26,2.02,1.39,2025-10-24,618,A,76,6.1NRT,273.88,48.45,D
48.27261,126.25909,325.33,1.53,1.22,2025-10-24,618,A,84,6.1NRT,281.02,49.14,D
48.07652,124.03111,309.99,1.21,1.09,2025-10-24,618,A,43,6.1NRT,277.96,14.23,D
48.07475,124.01537,312.86,1.21,1.09,2025-10-24,618,A,66,6.1NRT,279.3,17.56,D
48.07297,123.99967,308.97,1.21,1.09,2025-10-24,618,A,36,6.1NRT,281.07,13.82,D
2.07381,-55.70404,303.22,1.35,1.15,2025-10-24,654,A,54,6.1NRT,292.44,6.58,N
-14.39285,-63.65169,318.32,1.02,1.01,2025-10-24,659,A,88,6.1NRT,294.94,14.48,N
-1.54842,-55.40561,302.26,1.61,1.25,2025-10-24,657,A,48,6.1NRT,291.71,7.58,N
-14.39572,-63.63324,316.21,1.02,1.01,2025-10-24,659,A,68,6.1NRT,294.25,12.77,N
-6.57427,-51.07997,302.64,4.34,1.92,2025-10-24,657,A,50,6.1NRT,288.87,43.3,N
-14.41206,-63.64531,319.49,1.02,1.01,2025-10-24,659,A,91,6.1NRT,294.12,15.6,N
9.77623,-63.26433,300.61,2.02,1.38,2025-10-24,654,A,31,6.1NRT,289.62,8.8,N
-6.57935,-51.08472,300.99,4.34,1.92,2025-10-24,657,A,36,6.1NRT,288.77,34.88,N
